,Company Type,Ticker
0,Health Care,a
1,Health Care,aa
2,Information Technology,aapl
3,Health Care,abbv
4,Health Care,abc
5,Health Care,abt
6,Health Care,ace
7,Health Care,aci
8,Information Technology,acn
9,Information Technology,act
10,Information Technology,adbe
11,Information Technology,adi
12,Consumer Staples,adm
13,Information Technology,adp
14,Information Technology,adsk
15,Information Technology,adt
16,Utilities,aee
17,Utilities,aeo
18,Utilities,aep
19,Utilities,aes
20,Health Care,aet
21,Financials,afl
22,Health Care,agn
23,Financials,aig
24,Real Estate,aiv
25,Financials,aiz
26,Information Technology,akam
27,Financials,all
28,Financials,altr
29,Health Care,alxn
30,Information Technology,amat
31,Information Technology,amd
32,Health Care,amgn
33,Financials,amp
34,Real Estate,amt
35,Consumer Discretionary,amzn
36,Consumer Discretionary,an
37,Consumer Discretionary,anf
38,Consumer Discretionary,ann
39,Financials,aon
40,Energy,apa
41,Energy,apc
42,Materials,apd
43,Information Technology,aph
44,Information Technology,apol
45,Information Technology,arg
46,Information Technology,arna
47,Information Technology,aro
48,Information Technology,ati
49,Information Technology,atvi
50,Real Estate,avb
51,Real Estate,avp
52,Materials,avy
53,Financials,axp
54,Consumer Discretionary,azo
55,Industrials,ba
56,Financials,bac
57,Health Care,bax
58,Health Care,bbby
59,Health Care,bbry
60,Financials,bbt
61,Consumer Discretionary,bby
62,Health Care,bcr
63,Health Care,bdx
64,Health Care,beam
65,Financials,ben
66,Financials,bf-b
67,Financials,bhi
68,Financials,big
69,Health Care,biib
70,Financials,bk
71,Financials,bks
72,Financials,blk
73,Materials,bll
74,Materials,bmc
75,Materials,bms
76,Health Care,bmy
77,Health Care,brcm
78,Health Care,brk-b
79,Health Care,bsx
80,Health Care,btu
81,Consumer Discretionary,bwa
82,Real Estate,bxp
83,Financials,c
84,Information Technology,ca
85,Information Technology,cab
86,Consumer Staples,cag
87,Health Care,cah
88,Health Care,cam
89,Health Care,camp
90,Industrials,cat
91,Financials,cb
92,Real Estate,cbg
93,Consumer Discretionary,cbs
94,Consumer Discretionary,cce
95,Real Estate,cci
96,Consumer Discretionary,ccl
97,Health Care,celg
98,Health Care,cern
99,Materials,cf
100,Materials,cfn
101,Energy,chk
102,Industrials,chrw
103,Health Care,ci
104,Health Care,cim
105,Financials,cinf
106,Consumer Staples,cl
107,Consumer Staples,cldx
108,Consumer Staples,clf
109,Consumer Staples,clx
110,Financials,cma
111,Consumer Discretionary,cmcsa
112,Financials,cme
113,Consumer Discretionary,cmg
114,Industrials,cmi
115,Utilities,cms
116,Utilities,cnp
117,Utilities,cnx
118,Financials,cof
119,Energy,cog
120,Energy,coh
121,Industrials,col
122,Energy,cop
123,Consumer Staples,cost
124,Consumer Staples,cov
125,Consumer Staples,cpb
126,Information Technology,crm
127,Information Technology,csc
128,Information Technology,csco
129,Industrials,csx
130,Industrials,ctas
131,Telecommunication Services,ctl
132,Information Technology,ctsh
133,Information Technology,ctxs
134,Information Technology,cvc
135,Consumer Staples,cvs
136,Energy,cvx
137,Utilities,d
138,Industrials,dal
139,Industrials,dd
140,Industrials,dds
141,Industrials,de
142,Industrials,dell
143,Industrials,df
144,Financials,dfs
145,Consumer Discretionary,dg
146,Health Care,dgx
147,Consumer Discretionary,dhi
148,Health Care,dhr
149,Consumer Discretionary,dis
150,Consumer Discretionary,disca
151,Consumer Discretionary,dks
152,Consumer Discretionary,dlph
153,Consumer Discretionary,dltr
154,Consumer Discretionary,dlx
155,Consumer Discretionary,dnb
156,Consumer Discretionary,dnr
157,Consumer Discretionary,do
158,Industrials,dov
159,Industrials,dow
160,Consumer Staples,dps
161,Consumer Discretionary,dri
162,Consumer Discretionary,dsw
163,Utilities,dte
164,Utilities,dtv
165,Utilities,duk
166,Health Care,dva
167,Energy,dvn
168,Information Technology,ea
169,Information Technology,ebay
170,Materials,ecl
171,Materials,ecyt
172,Utilities,ed
173,Industrials,efx
174,Utilities,eix
175,Consumer Staples,el
176,Consumer Staples,emc
177,Materials,emn
178,Industrials,emr
179,Energy,eog
180,Real Estate,eqr
181,Energy,eqt
182,Health Care,esrx
183,Health Care,esv
184,Financials,etfc
185,Industrials,etn
186,Utilities,etr
187,Health Care,ew
188,Utilities,exc
189,Industrials,expd
190,Consumer Discretionary,expe
191,Consumer Discretionary,expr
192,Consumer Discretionary,f
193,Industrials,fast
194,Industrials,fb
195,Materials,fcx
196,Materials,fdo
197,Industrials,fdx
198,Utilities,fe
199,Information Technology,ffiv
200,Information Technology,fhn
201,Information Technology,fis
202,Information Technology,fisv
203,Financials,fitb
204,Consumer Discretionary,fl
205,Information Technology,flir
206,Industrials,flr
207,Industrials,fls
208,Industrials,flws
209,Materials,fmc
210,Materials,fosl
211,Materials,frx
212,Materials,fslr
213,Energy,fti
214,Energy,ftr
215,Energy,gas
216,Energy,gci
217,Industrials,gd
218,Industrials,ge
219,Industrials,ges
220,Health Care,gild
221,Consumer Staples,gis
222,Information Technology,glw
223,Consumer Discretionary,gm
224,Consumer Discretionary,gmcr
225,Consumer Discretionary,gme
226,Consumer Discretionary,gnw
227,Information Technology,goog
228,Consumer Discretionary,gpc
229,Consumer Discretionary,gps
230,Consumer Discretionary,grmn
231,Consumer Discretionary,grpn
232,Financials,gs
233,Consumer Discretionary,gt
234,Consumer Discretionary,gtn
235,Industrials,gww
236,Energy,hal
237,Energy,har
238,Consumer Discretionary,has
239,Financials,hban
240,Financials,hcbk
241,Real Estate,hcn
242,Real Estate,hcp
243,Consumer Discretionary,hd
244,Energy,hes
245,Financials,hig
246,Consumer Discretionary,hog
247,Industrials,hon
248,Industrials,hot
249,Industrials,hov
250,Energy,hp
251,Information Technology,hpq
252,Financials,hrb
253,Consumer Staples,hrl
254,Information Technology,hrs
255,Information Technology,hsp
256,Real Estate,hst
257,Consumer Staples,hsy
258,Consumer Staples,htz
259,Health Care,hum
260,Information Technology,ibm
261,Financials,ice
262,Materials,iff
263,Materials,igt
264,Information Technology,intc
